PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,TEAM
Patty Mills,5,5,33.0,13.4,0.4,1.6,2.0,2.6,0.60,0.20,1.8,3.0,1.4,SAS
Rudy Gay,5,4,32.0,12.2,1.8,3.8,5.6,2.2,1.60,0.20,1.2,3.2,1.8,SAS
Manu Ginobili,5,0,21.4,9.0,0.2,2.8,3.0,3.2,1.40,0.20,1.4,2.6,2.3,SAS
Dejounte Murray,5,5,19.2,7.8,0.8,3.4,4.2,1.8,1.00,0.40,1.0,2.2,1.8,SAS
Tony Parker,5,0,13.4,6.6,0.0,0.8,0.8,1.2,0.40,0.00,0.8,0.4,1.5,SAS
Pau Gasol,5,0,18.0,6.0,0.4,4.4,4.8,2.8,0.00,0.20,1.2,1.0,2.3,SAS
Kyle Anderson,5,1,14.8,5.4,1.0,1.6,2.6,0.6,1.20,0.20,0.6,2.0,1.0,SAS
Bryn Forbes,4,0,13.5,4.3,0.3,0.5,0.8,0.5,0.00,0.00,0.0,0.8,0.0,SAS
Danny Green,5,5,20.6,4.2,0.8,1.4,2.2,0.2,0.20,0.80,0.4,1.6,0.5,SAS
Davis Bertans,5,0,16.4,3.4,0.2,2.0,2.2,1.2,0.40,0.00,0.2,2.0,6.0,SAS
Derrick White,3,0,6.0,2.3,0.0,0.0,0.0,0.3,0.33,0.67,0.0,0.0,0.0,SAS
Joffrey Lauvergne,1,0,6.0,2.0,0.0,1.0,1.0,0.0,0.00,0.00,0.0,0.0,0.0,SAS
Brandon Paul,1,0,3.0,0.0,0.0,1.0,1.0,1.0,0.00,0.00,0.0,0.0,0.0,SAS
DeMar DeRozan,10,10,35.4,22.7,0.6,3.0,3.6,4.0,0.50,0.60,2.3,2.4,1.7,TOR
Kyle Lowry,10,10,36.1,17.4,0.2,4.1,4.3,8.5,1.50,0.00,3.1,3.3,2.7,TOR
Jonas Valanciunas,10,9,24.4,14.6,3.0,7.5,10.5,1.2,0.40,1.50,1.9,2.2,0.6,TOR
CJ Miles,10,1,22.7,9.6,0.6,1.8,2.4,0.8,0.70,0.30,0.9,2.1,0.9,TOR
Serge Ibaka,10,9,26.0,8.7,1.3,4.6,5.9,1.1,0.10,1.30,1.6,2.1,0.7,TOR
Delon Wright,10,0,21.5,8.6,0.3,1.9,2.2,2.3,1.50,0.90,0.9,1.0,2.6,TOR
OG Anunoby,10,10,23.8,7.9,0.9,1.2,2.1,0.7,0.60,0.40,0.6,2.3,1.2,TOR
Fred VanVleet,6,1,19.0,6.8,0.0,1.7,1.7,2.2,0.00,0.00,0.7,1.3,3.3,TOR
Pascal Siakam,10,0,17.9,6.6,0.9,2.7,3.6,0.8,0.10,0.60,0.7,2.7,1.1,TOR
Jakob Poeltl,9,0,15.6,5.4,1.7,2.3,4.0,0.7,0.33,0.44,0.9,2.8,0.8,TOR
Lorenzo Brown,4,0,7.3,2.3,0.3,1.3,1.5,0.5,0.00,0.25,0.3,0.5,2.0,TOR
Norman Powell,6,0,6.7,2.0,0.0,0.3,0.3,0.3,0.00,0.00,0.2,0.7,2.0,TOR
Lucas Nogueira,5,0,4.8,0.2,0.0,0.2,0.2,0.2,0.00,0.00,0.6,1.2,0.3,TOR
John Wall,6,6,39.0,26.0,0.5,5.2,5.7,11.5,2.33,1.33,4.5,2.7,2.6,WAS
Bradley Beal,6,6,36.0,23.2,0.3,3.0,3.3,2.8,1.17,0.33,2.5,3.2,1.1,WAS
Mike Scott,6,0,21.0,10.8,1.0,2.5,3.5,0.7,0.33,0.17,0.8,1.7,0.8,WAS
Otto Porter Jr.,5,5,31.6,10.0,0.2,4.8,5.0,1.6,1.20,1.00,0.6,1.2,2.7,WAS
Markieff Morris,6,6,30.2,9.8,2.3,5.2,7.5,1.7,0.67,0.83,1.0,3.7,1.7,WAS
Kelly Oubre Jr.,6,1,24.7,9.3,0.2,3.7,3.8,0.7,1.00,0.50,0.8,2.7,0.8,WAS
Marcin Gortat,6,6,26.7,8.7,2.2,4.2,6.3,1.0,0.00,0.33,1.0,2.5,1.0,WAS
Ty Lawson,5,0,19.2,5.8,0.4,2.2,2.6,3.0,0.60,0.00,0.6,1.2,5.0,WAS
Ian Mahinmi,6,0,8.7,5.0,0.7,1.2,1.8,0.2,0.67,0.83,0.2,1.7,1.0,WAS
Tomas Satoransky,6,0,10.0,1.2,0.8,0.7,1.5,0.5,0.00,0.00,0.5,0.7,1.0,WAS
Jason Smith,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,WAS
Tim Frazier,2,0,3.0,0.0,0.0,0.5,0.5,1.5,0.50,0.00,0.0,1.0,0.0,WAS
LeBron James,20,20,41.7,34.6,1.4,7.8,9.2,9.0,1.40,1.00,4.2,2.3,2.1,CLE
Kevin Love,19,19,31.7,14.7,2.2,8.0,10.2,1.5,0.68,0.42,2.0,2.8,0.8,CLE
George Hill,17,16,29.7,9.8,0.6,1.5,2.1,2.2,0.59,0.47,1.0,2.7,2.2,CLE
Kyle Korver,20,11,23.7,9.0,0.3,2.2,2.5,0.9,0.45,0.45,0.6,2.1,1.5,CLE
JR Smith,20,19,32.4,8.4,0.5,2.3,2.7,1.2,0.90,0.20,1.0,2.4,1.3,CLE
Jeff Green,20,2,24.1,8.1,0.4,2.3,2.7,1.5,0.35,0.70,0.8,1.7,1.9,CLE
Tristan Thompson,17,9,21.5,6.1,2.4,3.5,5.9,0.6,0.12,0.35,0.6,1.4,1.0,CLE
Jordan Clarkson,19,0,15.0,4.7,0.5,1.2,1.7,0.7,0.42,0.16,0.7,1.1,1.0,CLE
Larry Nance Jr.,18,0,15.0,4.7,1.5,2.9,4.4,0.7,0.83,0.72,0.6,1.7,1.2,CLE
Rodney Hood,15,1,13.8,4.4,0.1,1.0,1.1,1.1,0.20,0.13,0.7,1.7,1.5,CLE
Jose Calderon,12,3,8.3,2.0,0.2,0.7,0.8,0.7,0.33,0.00,0.4,1.3,1.6,CLE
Ante Zizic,7,0,3.0,1.3,0.0,0.7,0.7,0.1,0.00,0.14,0.3,0.3,0.5,CLE
Cedi Osman,13,0,4.5,0.9,0.1,0.5,0.5,0.2,0.23,0.00,0.0,0.4,0.0,CLE
Victor Oladipo,7,7,37.3,22.7,0.4,7.9,8.3,6.0,2.43,0.43,3.4,1.6,1.8,IND
Bojan Bogdanovic,7,7,34.0,12.4,0.1,3.3,3.4,1.9,0.86,0.00,1.9,3.3,1.0,IND
Myles Turner,7,7,28.0,12.4,0.9,4.3,5.1,0.6,0.29,0.57,1.6,3.6,0.4,IND
Domantas Sabonis,7,0,23.7,12.4,2.0,2.6,4.6,0.7,0.14,0.29,1.0,3.1,0.7,IND
Thaddeus Young,7,7,33.9,11.3,3.1,4.6,7.7,1.4,1.71,0.86,1.0,3.1,1.4,IND
Darren Collison,7,7,30.6,11.3,0.1,2.9,3.0,4.7,1.00,0.00,1.3,1.0,3.7,IND
Lance Stephenson,7,0,21.3,10.4,0.4,2.3,2.7,2.9,0.29,0.14,1.3,2.9,2.2,IND
Cory Joseph,7,0,20.4,4.7,0.3,2.1,2.4,3.0,1.29,0.29,0.6,1.4,5.3,IND
Trevor Booker,7,0,9.1,2.6,0.7,1.9,2.6,0.0,0.14,0.14,0.1,1.7,0.0,IND
Glenn Robinson III,2,0,3.0,1.0,0.0,0.5,0.5,0.0,0.00,0.00,0.0,0.0,0.0,IND
Joe Young,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,1.0,0.0,IND
T.J. Leaf,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,IND
Joel Embiid,8,8,34.8,21.4,2.9,9.8,12.6,3.0,0.88,1.75,3.6,3.9,0.8,PHI
JJ Redick,10,10,34.2,18.2,0.3,1.2,1.5,2.6,0.80,0.10,1.1,2.1,2.4,PHI
Dario Saric,10,10,32.9,17.2,3.2,4.1,7.3,3.5,1.00,0.40,1.5,2.8,2.3,PHI
Ben Simmons,10,10,36.9,16.3,1.6,7.8,9.4,7.7,1.70,0.80,4.4,3.4,1.8,PHI
Marco Belinelli,10,0,27.3,12.9,0.1,2.0,2.1,2.0,0.70,0.00,0.4,2.0,5.0,PHI
Ersan Ilyasova,10,1,23.3,9.3,2.6,5.0,7.6,1.3,0.70,0.40,1.0,2.5,1.3,PHI
Robert Covington,10,8,28.1,8.1,1.2,4.1,5.3,2.5,1.10,0.90,1.1,3.0,2.3,PHI
